Entidad federativa,Inmigrante,Estado_In_1,Estado_In_2,Estado_In_3,Inmigrante_E_1,Inmigrante_E_2,Inmigrante_E_3,Emigrante,Estado_Em_1,Estado_Em_2,Estado_Em_3,Emigrante_E_1,Emigrante_E_2,Emigrante_E_3,Saldo neto
Aguascalientes,276430,Zacatecas,Jalisco,Ciudad de México,55286,46993,30407,144612,Jalisco,Zacatecas,Guanajuato,26030,21691,10122,131818
Baja California,1463949,Sinaloa,Chiapas ,Guerrero,190313,175673,161034,211540,Sinaloa,Sonora,Jalisco,29615,25384,19038,1252409
Baja California Sur,313283,Guerrero,Sinaloa,México,84586,31328,21929,42130,Baja California,Sinaloa,Jalisco,7583,5476,3791,271153
Campeche,199443,Tabasco,Veracruz,Quintana Roo,47866,31910,25927,141018,Yucatán,Quintana Roo,Tabasco,46535,29613,15511,58425
Coahuila de Zaragoza,398612,Veracruz,Nuevo León,Durango,51819,51819,47833,438541,Nuevo León,Durango,Chihuahua,118406,57010,52624,-39929
Colima,193703,Jalisco,Michoacán ,Guerrero,67796,27118,19370,114254,Jalisco,Michoacán ,Baja California,42273,11425,10282,79449
Chiapas,174961,Tabasco,Quintana Roo,México,20995,17496,15746,678362,Quintana Roo,Baja California,Nuevo León,122105,108537,54268,-503401
Chihuahua,561040,Veracruz ,Durango,Coahuila de Zaragoza,129039,72935,44883,259407,Durango,Coahuila de Zaragoza,Sonora,31128,25940,20752,301633
Ciudad de México,1679063,México,Veracruz ,Puebla,822740,100743,100743,4955432,México,Hidalgo,Querétaro,2081281,396434,346880,-3276369
Durango,210697,Coahuila de Zaragoza,Chihuahua,Sinaloa,40032,40032,16855,464734,Chihuahua,Coahuila de Zaragoza,Sinaloa,97594,88299,55768,-254037
Guanajuato,557773,México,Ciudad de México,Queretaro,78088,72510,72510,646602,Queretaro,Jalisco,Mexico,122854,71126,58194,-88829
Guerrero,195093,México,Ciudad de México,Morelos,33165,27313,23411,966482,Baja California,Morelos,Baja California Sur,115977,96648,96648,-771389
Hidalgo,609940,México,Ciudad de México,Veracruz,274473,152485,30497,654244,México,Ciudad de México,Querétaro,157018,78509,78509,-44304
Jalisco,1067778,Michoacán ,Ciudad de México,México,96100,85422,85422,841477,Nayarit,Colima,Michoacán,109392,58903,58903,226301
México,5190562,Ciudad de México,Veracruz,Puebla,2802903,311433,259528,1344291,Ciudad de México,Hidalgo,Querétaro,389844,201643,107543,3846271
Michoacán,433109,Guerrero,México,Jalisco,69297,64966,56304,953793,Jalisco,Baja California,México,152606,114455,104917,-520684
Morelos,500693,Ciudad de México,Guerrero,México,135187,125173,90124,220687,Ciudad de México,México,Guerrero,33103,28689,24275,280006
Nayarit,252605,Jalisco,Baja California,Chiapas,95989,20208,15156,244381,Jalisco,Baja California,Sinaloa,90420,43988,21994,8224
Nuevo León,1319964,Veracruz,Tamaulipas,San Luis Potosí,316791,197994,145196,268647,San Luis Potosí,Coahuila de Zaragoza,Tamaulipas,37610,32237,29551,1051317
Oaxaca,293054,México,Ciudad de México,Veracruz,55680,43958,41027,1030645,México,Ciudad de México,Baja California,133983,103064,103064,-737591
Puebla,660918,Veracruz,México,Ciudad de México,125574,118965,105746,1080205,México,Ciudad de México,Veracruz,162030,140426,118822,-419287
Querétaro,686545,Ciudad de México,México,Guanajuato,144174,137309,61789,211297,Guanajuato,México,Ciudad de México,52824,27468,19016,475248
Quintana Roo,945101,Tabasco,Chiapas ,Veracruz,189020,151216,141765,88963,Yucatán,Chiapas,Veracruz,30247,7117,6227,856138
San Luis Potosí,294725,Nuevo León,Tamaulipas,México,53050,41261,26525,684423,Nuevo León,Tamaulipas,Querétaro,294301,75286,34221,-389698
Sinaloa,312601,Baja California,Guerrero,Sonora,46890,40638,37512,656351,Baja California,Sonora,Jalisco,183778,118143,59071,-343750
Sonora,425906,Sinaloa,Baja California,Chihuahua,97958,59626,29813,284860,Baja California,Sinaloa,Jalisco,74063,45577,19940,141046
Tabasco,210156,Chiapas,Veracruz,Campeche,48335,37828,27320,446038,Quintana Roo,Yucatán,Nuevo León,147192,49064,40143,-235882
Tamaulipas,764320,Veracruz,Nuevo León,San Luis Potosí,328657,76432,61145,526943,Nuevo León,Veracruz,San Luis Potosí,200238,84310,47424,237377
Tlaxcala,210269,Puebla,México,Ciudad de México,67286,37848,31540,211661,Puebla,México,Ciudad de México,67731,27515,23282,-1392
Veracruz,762798,México,Ciudad de México,Tamaulipas,106791,91535,83907,1990971,Nuevo León,Tamaulipas,Puebla,358374,219006,159277,-1228173
Yucatán,269765,Quintana Roo,Campeche,Tabasco,67441,40464,32371,305166,Quintana Roo,Campeche,Ciudad de México,140376,27464,21361,-35401
Zacatecas,177107,Jalisco,Aguascalientes,Durango,31879,19481,12397,503806,Aguascalientes,Jalisco,Nuevo León,120913,70532,45342,-326699
